Date,CO deaths
2021-01-10,18
2021-01-11,5
2021-01-12,29
2021-01-13,41
2021-01-14,27
2021-01-15,22
2021-01-16,25
2021-01-17,10
2021-01-18,4
2021-01-19,8
2021-01-20,34
2021-01-21,25
2021-01-22,21
2021-01-23,21
2021-01-24,20
2021-01-25,2
2021-01-26,11
2021-01-27,36
2021-01-28,19
2021-01-29,22
2021-01-30,26
2021-01-31,21
2021-02-01,4
2021-02-02,9
2021-02-03,14
2021-02-04,0
2021-02-05,40
2021-02-06,18
2021-02-07,10
2021-02-08,3
2021-02-09,13
2021-02-10,24
2021-02-11,16
2021-02-12,9
2021-02-13,22
2021-02-14,10
2021-02-15,1
2021-02-16,2
2021-02-17,14
2021-02-18,23
2021-02-19,13
2021-02-20,12
2021-02-21,5
2021-02-22,1
2021-02-23,15
2021-02-24,8
2021-02-25,9
2021-02-26,15
2021-02-27,9
2021-02-28,4
2021-03-01,1
2021-03-02,6
2021-03-03,9
2021-03-04,4
2021-03-05,11
2021-03-06,5
2021-03-07,3
2021-03-08,0
2021-03-09,9
2021-03-10,8
2021-03-11,19
2021-03-12,6
2021-03-13,8
2021-03-14,1
2021-03-15,2
2021-03-16,8
2021-03-17,3
2021-03-18,9
2021-03-19,4
2021-03-20,0
2021-03-21,10
2021-03-22,2
2021-03-23,2
2021-03-24,4
2021-03-25,2
2021-03-26,4
2021-03-27,3
2021-03-28,1
2021-03-29,0
2021-03-30,3
2021-03-31,9
2021-04-01,10
2021-04-02,2
2021-04-03,5
